intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3096000,0.004012732909594268,0.092148342163224,0.004012732909594268,0.002272925781529153,1.8491602067183464,1.0,3.4269111784491586,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,"GCA_018257865.1 Stereocaulon alpinum strain=ANT050947 ASM1825786v1",ffcb962d6d814caef2e603f13d68104a,0.092148342163224,3096000,0,25405000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-9-POLPIL-G/S-9-POLPIL-G_unmatched_2.fastq,S-9-POLPIL-G,e5d5e331,771544000,31,DNA,1000,771544,True,0.8369347899011702,0.925968838794848,0.8814518143480091,0.925968838794848,False,5725,5725,2518780
2339000,0.0030315834223323622,0.6639227930740846,0.0030315834223323622,0.00206171241632854,2.2201795639162034,2.0,1.4866669114477131,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_X.bin.4.fa.sig,0b6b5f69d58cb71d2980061004210fb9,0.6639227930740846,2339000,1,23066000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-9-POLPIL-G/S-9-POLPIL-G_unmatched_2.fastq,S-9-POLPIL-G,e5d5e331,771544000,31,DNA,1000,771544,True,0.8293990489177809,0.9868743410663957,0.9081366949920884,0.9868743410663957,False,5193,10918,2518780
2031000,0.0026323838951505035,0.2929045284107297,0.0026323838951505035,0.0012510024694494953,1.551452486459872,1.0,0.9320522654269001,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_AA.bin.3.fa.sig,49810892ce7860502d6bbd63b0d4c4c1,0.2929045284107297,2031000,2,21035000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-9-POLPIL-G/S-9-POLPIL-G_unmatched_2.fastq,S-9-POLPIL-G,e5d5e331,771544000,31,DNA,1000,771544,True,0.8256299882691877,0.9611642646141317,0.8933971264416597,0.9611642646141317,False,3151,14069,2518780
1742000,0.0022578103128272657,0.45999471877475573,0.0022578103128272657,0.0012998356347120432,1.8794489092996556,1.0,1.2062514810144034,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_J.bin.1.fa.sig,d6c632e52c88e1bec0a899f6ce6d5d3e,0.45999471877475573,1742000,3,19293000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-9-POLPIL-G/S-9-POLPIL-G_unmatched_2.fastq,S-9-POLPIL-G,e5d5e331,771544000,31,DNA,1000,771544,True,0.8215520413716962,0.9752614538426617,0.898406747607179,0.9752614538426617,False,3274,17343,2518780
1577000,0.0020439534232655557,0.2992589777693331,0.0020413612185435958,0.0012843519481653817,2.0539682539682538,2.0,1.32627002886606,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_X.bin.1.fa.sig,b6bb95ba86ac49bbc7d2284922c9dd1c,0.2996389891696751,1575000,4,17718000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-9-POLPIL-G/S-9-POLPIL-G_unmatched_2.fastq,S-9-POLPIL-G,e5d5e331,771544000,31,DNA,1000,771544,True,0.8189190988180838,0.9618693251921662,0.8903942120051249,0.9618693251921662,False,3235,20578,2518780
1519000,0.0019687794863287125,0.20024586805081274,0.001900086061196769,0.0008420743375761281,1.446793997271487,1.0,0.9063780113427012,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_J.bin.8.fa.sig,26abc9af027f1bb8a966d677689a6c89,0.207485316213632,1466000,5,16252000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-9-POLPIL-G/S-9-POLPIL-G_unmatched_2.fastq,S-9-POLPIL-G,e5d5e331,771544000,31,DNA,1000,771544,True,0.8179298063535247,0.9505332963410023,0.8842315513472635,0.9505332963410023,False,2121,22699,2518780
1371000,0.0017769563369036633,0.24468655116985175,0.0017756602345426833,0.0010679773541158815,1.9635036496350364,2.0,1.3019287159339952,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Green_P.bin.6.fa.sig,84b6ad24d9a54c95d65519e42989f579,0.24486515449187354,1370000,6,14882000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-9-POLPIL-G/S-9-POLPIL-G_unmatched_2.fastq,S-9-POLPIL-G,e5d5e331,771544000,31,DNA,1000,771544,True,0.8152295162422063,0.9556260222565474,0.8854277692493768,0.9556260222565474,False,2690,25389,2518780
1555000,0.0020154391713239944,0.13423046477439782,0.0015384735024833321,0.000907582242196619,1.9258635214827295,1.0,5.057668778285393,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_Z.bin.1.fa.sig,fa3beca0c629faeec757444fce4d46ad,0.17584530136831392,1187000,7,13695000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-9-POLPIL-G/S-9-POLPIL-G_unmatched_2.fastq,S-9-POLPIL-G,e5d5e331,771544000,31,DNA,1000,771544,True,0.8185480603248495,0.945473540931839,0.8820108006283442,0.945473540931839,False,2286,27675,2518780
1019000,0.0013207283058386818,0.364385524901469,0.001318136101116722,0.0006701657151478097,1.6597836774827925,1.0,0.9877744082640939,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Green_K.bin.1.fa.sig,847190496e602eaaf66efbad85da0819,0.36510211393765674,1017000,8,12678000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-9-POLPIL-G/S-9-POLPIL-G_unmatched_2.fastq,S-9-POLPIL-G,e5d5e331,771544000,31,DNA,1000,771544,True,0.807463715223233,0.9680200079098974,0.8877418615665652,0.9680200079098974,False,1688,29363,2518780
1000000,0.0012961023609800607,0.1762316793219142,0.0012935101562581007,0.0006276848315454307,1.5841683366733468,1.0,1.3624030769223379,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,"GCA_008039875.1 Methylobacterium sp. WL119 strain=WL119 ASM803987v1",e5bf01c613c616b5ef30b491d1b9f44e,0.17658484901995408,998000,9,11680000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-9-POLPIL-G/S-9-POLPIL-G_unmatched_2.fastq,S-9-POLPIL-G,e5d5e331,771544000,31,DNA,1000,771544,True,0.8069736097130182,0.945601550025976,0.8762875798694971,0.945601550025976,False,1581,30944,2518780
