intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
6778000,0.004272418694510717,0.9775021632535333,0.004272418694510717,0.016967592906665944,5.9041015048686925,5.0,3.3900916578367286,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_AA.bin.3.fa.sig,49810892ce7860502d6bbd63b0d4c4c1,0.9775021632535333,6778000,0,91249000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-B/S-10-POLJUN-B_unmatched_2.fastq,S-10-POLJUN-B,af4e24d3,1586455000,31,DNA,1000,1586455,True,0.8386294759147883,0.9992662443601689,0.9189478601374785,0.9992662443601689,False,40018,40018,2358496
3593000,0.002264797929975953,0.7736864771748493,0.002264797929975953,0.004023326730255214,2.6409685499582523,2.0,1.8263654484541216,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_AA.bin.4.fa.sig,80815ceabde15024ef05a4482dc8713c,0.7736864771748493,3593000,1,87656000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-B/S-10-POLJUN-B_unmatched_2.fastq,S-10-POLJUN-B,af4e24d3,1586455000,31,DNA,1000,1586455,True,0.8216339379022917,0.9917571102815969,0.9066955240919443,0.9917571102815969,False,9489,49507,2358496
3597000,0.00226731927473518,0.45,0.0022578642318880774,0.0036128956758883627,2.3788386376326076,2.0,1.629134860372524,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,"GCA_017115085.1 Nostoc sp. NMS7 ASM1711508v1",678a163446b4fcff04b3b72d55c7e111,0.45188442211055274,3582000,2,84074000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-B/S-10-POLJUN-B_unmatched_2.fastq,S-10-POLJUN-B,af4e24d3,1586455000,31,DNA,1000,1586455,True,0.8216634286382761,0.9747019852981902,0.8981827069682331,0.9747019852981902,False,8521,58028,2358496
3506000,0.0022099586814627583,0.7496632240682533,0.002104692537765017,0.0040538546599188634,2.8634321653189576,2.0,1.7912740698918017,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_Y.bin.2.fa.sig,9ffa6ea1067881b644496d3439d08a0f,0.7871576111360574,3339000,3,80735000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-B/S-10-POLJUN-B_unmatched_2.fastq,S-10-POLJUN-B,af4e24d3,1586455000,31,DNA,1000,1586455,True,0.8209845281524477,0.9923095055620006,0.9066470168572242,0.9923095055620006,False,9561,67589,2358496
2886000,0.0018191502437825214,0.8748105486511064,0.0018191502437825214,0.0037392473847740254,3.055786555786556,3.0,1.9181102790123032,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_AA.bin.1.fa.sig,e731f8dc383bbd426c09b7bf10aca6ec,0.8748105486511064,2886000,4,77849000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-B/S-10-POLJUN-B_unmatched_2.fastq,S-10-POLJUN-B,af4e24d3,1586455000,31,DNA,1000,1586455,True,0.8158468921925007,0.9956948444501453,0.905770868321323,0.9956948444501453,False,8819,76408,2358496
2776000,0.0017498132629037697,0.9871977240398293,0.0017498132629037697,0.006673744623692387,5.670028818443804,5.0,4.105408080019849,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_AA.bin.5.fa.sig,6bd375404154239bf3826091f9230475,0.9871977240398293,2776000,5,75073000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-B/S-10-POLJUN-B_unmatched_2.fastq,S-10-POLJUN-B,af4e24d3,1586455000,31,DNA,1000,1586455,True,0.8148248183938175,0.9995844434222767,0.907204630908047,0.9995844434222767,False,15740,92148,2358496
2754000,0.0017359458667280195,0.4708497179004958,0.0017359458667280195,0.0021878349592282537,1.8736383442265796,1.0,1.2248969757621437,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_Z.bin.2.fa.sig,00ce00a9b6824f3d4635fbeb618f8c05,0.4708497179004958,2754000,6,72319000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-B/S-10-POLJUN-B_unmatched_2.fastq,S-10-POLJUN-B,af4e24d3,1586455000,31,DNA,1000,1586455,True,0.8146157075001955,0.9759955029639827,0.8953056052320891,0.9759955029639827,False,5160,97308,2358496
2806000,0.0017687233485979747,0.3617983882369574,0.0016130303097156868,0.0019758354476751287,1.8210238374364986,1.0,1.341907113065617,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Green_W.bin.2.fa.sig,5575d8948e87a9e5182f28582ff5a2c6,0.3967199208256751,2559000,7,69760000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-B/S-10-POLJUN-B_unmatched_2.fastq,S-10-POLJUN-B,af4e24d3,1586455000,31,DNA,1000,1586455,True,0.8151073997142892,0.9706169501418295,0.8928621749280594,0.9706169501418295,False,4660,101968,2358496
2515000,0.0015852955173641862,0.40516545601291365,0.001582143836415152,0.001929195555133441,1.8127490039840637,1.0,1.2898611729048728,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_P.bin.10.fa.sig,4b6ddb7cc445472eeee0fde61b8c0df1,0.4059725585149314,2510000,8,67250000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-B/S-10-POLJUN-B_unmatched_2.fastq,S-10-POLJUN-B,af4e24d3,1586455000,31,DNA,1000,1586455,True,0.8122336449783744,0.9713390766318286,0.8917863608051015,0.9713390766318286,False,4550,106518,2358496
2288000,0.0014422092022780349,0.807909604519774,0.0014422092022780349,0.002923473264317599,3.0135489510489513,3.0,1.9545289864293662,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/genome_sketches/index_genbank_k31.sbt.zip,Brown_AA.bin.6.fa.sig,8952a79dd3ca4fbca0573057655b4763,0.807909604519774,2288000,9,64962000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-10-POLJUN-B/S-10-POLJUN-B_unmatched_2.fastq,S-10-POLJUN-B,af4e24d3,1586455000,31,DNA,1000,1586455,True,0.8097589380194729,0.9931428088166862,0.9014508734180795,0.9931428088166862,False,6895,113413,2358496
